run_id,created_at_utc,region_scope,service,resource_type,strategy,demand_scenario,target_scenario,target_value,resource_budget,allocation_cap,vulnerability_weights,random_seed,code_version,input_sha256,config_sha256
20260727T070227Z_visit_nursing_institution_demand_proportional,20260727T070227Z,provincial_counties_76,visit_nursing,institution,demand_proportional,ltci_midpoint,county_median,0.4134130418495324,5,2,"{""aging_rate"": 0.5, ""elderly_single_household_index"": 0.5}",,c359fd5,5f86d1572d410be932e52cd5bbba950126aca03906d8fc599e413967f11c302b,e3a5a9b06d809df3677ecbfb3dde9f845d253b245291bdf3fa4283669a4cbf7c
20260727T070227Z_visit_nursing_institution_shortage_priority,20260727T070227Z,provincial_counties_76,visit_nursing,institution,shortage_priority,ltci_midpoint,county_median,0.4134130418495324,5,2,"{""aging_rate"": 0.5, ""elderly_single_household_index"": 0.5}",,c359fd5,5f86d1572d410be932e52cd5bbba950126aca03906d8fc599e413967f11c302b,e3a5a9b06d809df3677ecbfb3dde9f845d253b245291bdf3fa4283669a4cbf7c
20260727T070227Z_visit_nursing_institution_zero_provider_priority,20260727T070227Z,provincial_counties_76,visit_nursing,institution,zero_provider_priority,ltci_midpoint,county_median,0.4134130418495324,5,2,"{""aging_rate"": 0.5, ""elderly_single_household_index"": 0.5}",,c359fd5,5f86d1572d410be932e52cd5bbba950126aca03906d8fc599e413967f11c302b,e3a5a9b06d809df3677ecbfb3dde9f845d253b245291bdf3fa4283669a4cbf7c
20260727T070227Z_visit_nursing_institution_vulnerability_priority,20260727T070227Z,provincial_counties_76,visit_nursing,institution,vulnerability_priority,ltci_midpoint,county_median,0.4134130418495324,5,2,"{""aging_rate"": 0.5, ""elderly_single_household_index"": 0.5}",,c359fd5,5f86d1572d410be932e52cd5bbba950126aca03906d8fc599e413967f11c302b,e3a5a9b06d809df3677ecbfb3dde9f845d253b245291bdf3fa4283669a4cbf7c
