run_id,created_at_utc,region_scope,service,resource_type,strategy,demand_scenario,target_scenario,target_value,resource_budget,allocation_cap,vulnerability_weights,random_seed,code_version,input_sha256,config_sha256
20260727T063718Z_visit_care_institution_demand_proportional,20260727T063718Z,provincial_counties_76,visit_care,institution,demand_proportional,ltci_midpoint,county_median,11.909217437998507,5,2,"{""aging_rate"": 0.5, ""elderly_single_household_index"": 0.5}",,c359fd5,5f86d1572d410be932e52cd5bbba950126aca03906d8fc599e413967f11c302b,828dc3f56543def4631ea798df127d396cb3c08042e8ad37048e2c2ed4226e5e
20260727T063718Z_visit_care_institution_shortage_priority,20260727T063718Z,provincial_counties_76,visit_care,institution,shortage_priority,ltci_midpoint,county_median,11.909217437998507,5,2,"{""aging_rate"": 0.5, ""elderly_single_household_index"": 0.5}",,c359fd5,5f86d1572d410be932e52cd5bbba950126aca03906d8fc599e413967f11c302b,828dc3f56543def4631ea798df127d396cb3c08042e8ad37048e2c2ed4226e5e
20260727T063718Z_visit_care_institution_zero_provider_priority,20260727T063718Z,provincial_counties_76,visit_care,institution,zero_provider_priority,ltci_midpoint,county_median,11.909217437998507,5,2,"{""aging_rate"": 0.5, ""elderly_single_household_index"": 0.5}",,c359fd5,5f86d1572d410be932e52cd5bbba950126aca03906d8fc599e413967f11c302b,828dc3f56543def4631ea798df127d396cb3c08042e8ad37048e2c2ed4226e5e
20260727T063718Z_visit_care_institution_vulnerability_priority,20260727T063718Z,provincial_counties_76,visit_care,institution,vulnerability_priority,ltci_midpoint,county_median,11.909217437998507,5,2,"{""aging_rate"": 0.5, ""elderly_single_household_index"": 0.5}",,c359fd5,5f86d1572d410be932e52cd5bbba950126aca03906d8fc599e413967f11c302b,828dc3f56543def4631ea798df127d396cb3c08042e8ad37048e2c2ed4226e5e
