장기요양기관코드,장기요양기관이름,우편번호,시도코드,시군구코드,법정동코드,시도 시군구 법정동명,지정일자,설치신고일자
11123000376,경동노인요양원2,02573,11,230,103,서울특별시 동대문구 제기동,2022-04-05,2022-04-05
11123000377,보은요양원,02509,11,230,104,서울특별시 동대문구 전농동,2022-04-01,2022-04-01
11123000381,시립동대문실버케어센터,02591,11,230,105,서울특별시 동대문구 답십리동,2022-05-17,2022-05-17
11123000383,메디컬요양원,02573,11,230,107,서울특별시 동대문구 청량리동,2022-08-08,2022-08-08
11123000387,안암고운너싱홈,02475,11,230,103,서울특별시 동대문구 제기동,2023-02-14,2023-02-14
11126000011,서울꽃동네신내노인요양원,02052,11,260,106,서울특별시 중랑구 신내동,2008-06-23,2001-05-11
11126000036,로뎀노인요양공동생활가정,02003,11,260,104,서울특별시 중랑구 묵동,2008-10-20,2008-10-20
11126000074,동우너싱홈,02164,11,260,105,서울특별시 중랑구 망우동,2009-06-23,2009-06-23
11126000111,유린원광노인요양원,02069,11,260,106,서울특별시 중랑구 신내동,2010-03-01,2010-03-01
11126000113,효원노인복지센터A,02091,11,260,102,서울특별시 중랑구 상봉동,2010-03-01,2010-03-01
11126000118,축복재가장기노인요양원,02201,11,260,101,서울특별시 중랑구 면목동,2010-03-12,2010-03-12
11126000119,두레노인요양원,02085,11,260,106,서울특별시 중랑구 신내동,2010-03-17,2010-03-15
11126000162,한세노인복지센터,02069,11,260,106,서울특별시 중랑구 신내동,2011-03-28,2011-03-28
11126000163,베스트그린요양원1호점,02102,11,260,103,서울특별시 중랑구 중화동,2011-03-29,2011-03-29
11126000164,베스트그린요양원2호점,02102,11,260,103,서울특별시 중랑구 중화동,2011-03-29,2011-03-29
11126000218,면목요양원,02158,11,260,101,서울특별시 중랑구 면목동,2013-07-01,2013-07-01
11126000230,효원노인복지센터B,02091,11,260,102,서울특별시 중랑구 상봉동,2013-09-13,2013-09-13
11126000231,효원노인복지센터C,02091,11,260,102,서울특별시 중랑구 상봉동,2013-09-13,2013-09-13
11126000232,효원노인복지센터D,02091,11,260,102,서울특별시 중랑구 상봉동,2013-09-13,2013-09-13
11126000234,두레노인요양원C,02085,11,260,106,서울특별시 중랑구 신내동,2013-11-15,2013-11-15
11126000253,효심(가)요양원,02115,11,260,103,서울특별시 중랑구 중화동,2014-10-01,2014-10-01
11126000254,효심(나)요양원,02115,11,260,103,서울특별시 중랑구 중화동,2014-10-01,2014-10-01
11126000271,서울시립중랑노인전문요양원,02062,11,260,105,서울특별시 중랑구 망우동,2015-03-01,2015-03-01
11126000287,상봉요양원요양센터,02173,11,260,105,서울특별시 중랑구 망우동,2015-07-31,2015-07-31
11126000291,효심(다)요양원,02115,11,260,103,서울특별시 중랑구 중화동,2015-10-01,2015-10-01
11126000292,효심(라)요양원,02115,11,260,103,서울특별시 중랑구 중화동,2015-10-01,2015-10-01
11126000300,카멜리아요양원,02005,11,260,104,서울특별시 중랑구 묵동,2015-12-22,2015-12-22
11126000315,우리가족요양원 1호점,02182,11,260,105,서울특별시 중랑구 망우동,2016-07-01,2016-07-01
11126000316,우리가족요양원 2호점,02182,11,260,105,서울특별시 중랑구 망우동,2016-07-01,2016-07-01
11126000322,영지요양원,02129,11,260,101,서울특별시 중랑구 면목동,2016-08-25,2016-08-25
11126000326,평강요양원,02179,11,260,105,서울특별시 중랑구 망우동,2016-09-06,2016-09-06
11126000333,가천요양원,02067,11,260,106,서울특별시 중랑구 신내동,2016-11-01,2016-11-01
11126000336,엘림요양원,02139,11,260,102,서울특별시 중랑구 상봉동,2016-12-14,2016-12-14
11126000342,정원요양원,02179,11,260,105,서울특별시 중랑구 망우동,2017-03-01,2017-03-01
11126000361,효심요양원1호,02115,11,260,103,서울특별시 중랑구 중화동,2017-09-18,2017-09-18
11126000362,효심요양원2호,02115,11,260,103,서울특별시 중랑구 중화동,2017-09-18,2017-09-18
11126000438,조은노인요양센터,02203,11,260,101,서울특별시 중랑구 면목동,2019-12-01,2019-12-01
11126000442,골든시니어케어센터,02005,11,260,104,서울특별시 중랑구 묵동,2019-12-09,2019-12-09
11126000446,A+평화요양원,02127,11,260,101,서울특별시 중랑구 면목동,2020-02-10,2020-02-10
11126000450,중랑삼성 요양원,02232,11,260,101,서울특별시 중랑구 면목동,2020-03-26,2020-03-26
11126000468,장원서울요양원,02182,11,260,105,서울특별시 중랑구 망우동,2021-03-02,2021-03-02
11126000472,새솔요양원,02139,11,260,102,서울특별시 중랑구 상봉동,2021-04-01,2021-04-01
11126000476,존엄케어노인전문요양원,02249,11,260,101,서울특별시 중랑구 면목동,2021-06-01,2021-06-01
11126000483,*(ABC)우림요양센터,02182,11,260,105,서울특별시 중랑구 망우동,2021-08-15,2021-08-15
11126000487,늘푸른요양원,02182,11,260,105,서울특별시 중랑구 망우동,2021-09-01,2021-09-01
11126000488,늘푸른요양원 2호점,02182,11,260,105,서울특별시 중랑구 망우동,2021-09-01,2021-09-01
11126000508,사랑채요양원,02255,11,260,101,서울특별시 중랑구 면목동,2022-06-01,2022-06-01
11126000509,예원요양원,02059,11,260,105,서울특별시 중랑구 망우동,2022-07-01,2022-07-01
11126000510,예원요양원 2호점,02059,11,260,105,서울특별시 중랑구 망우동,2022-07-01,2022-07-01
11126000525,나눔요양원,02127,11,260,101,서울특별시 중랑구 면목동,2023-03-01,2023-03-01
