행정기관코드,기준연월,시도명,시군구명,읍면동명,총인구,65세이상인구,75세이상인구,85세이상인구,65세이상남자,65세이상여자,고령화율
5218043000,2026-06-30,전북특별자치도,정읍시,산내면,1159,620,313,113,269,351,53.49439171699741
5218044000,2026-06-30,전북특별자치도,정읍시,산외면,1904,1013,540,196,459,554,53.20378151260504
5218051000,2026-06-30,전북특별자치도,정읍시,수성동,15631,3302,1401,368,1428,1874,21.124688119762013
5218052000,2026-06-30,전북특별자치도,정읍시,장명동,2607,870,431,135,379,491,33.3716915995397
5218053500,2026-06-30,전북특별자치도,정읍시,내장상동,20196,4589,2016,581,1991,2598,22.722321251733018
5218054500,2026-06-30,전북특별자치도,정읍시,시기동,2899,1163,610,175,466,697,40.1172818213177
5218056500,2026-06-30,전북특별자치도,정읍시,초산동,9615,2072,897,221,904,1168,21.54966198647946
5218057000,2026-06-30,전북특별자치도,정읍시,연지동,5454,1744,837,198,773,971,31.976530986431978
5218058000,2026-06-30,전북특별자치도,정읍시,농소동,5245,1469,666,216,635,834,28.007626310772167
5218059500,2026-06-30,전북특별자치도,정읍시,상교동,3964,1486,745,281,678,808,37.48738647830474
5219025000,2026-06-30,전북특별자치도,남원시,운봉읍,3459,1701,882,326,730,971,49.17606244579358
5219031000,2026-06-30,전북특별자치도,남원시,주천면,2407,1076,516,170,495,581,44.7029497299543
5219032000,2026-06-30,전북특별자치도,남원시,수지면,1015,534,285,117,243,291,52.610837438423644
5219033000,2026-06-30,전북특별자치도,남원시,송동면,1774,908,450,172,412,496,51.18376550169109
5219034000,2026-06-30,전북특별자치도,남원시,주생면,1661,860,482,184,357,503,51.77603853100542
5219035000,2026-06-30,전북특별자치도,남원시,금지면,2017,1118,607,223,458,660,55.42885473475459
5219036000,2026-06-30,전북특별자치도,남원시,대강면,1357,822,447,185,343,479,60.574797347089174
5219037000,2026-06-30,전북특별자치도,남원시,대산면,1420,725,381,158,326,399,51.056338028169016
5219038000,2026-06-30,전북특별자치도,남원시,사매면,1404,726,423,169,325,401,51.70940170940172
5219039000,2026-06-30,전북특별자치도,남원시,덕과면,900,480,246,80,211,269,53.333333333333336
5219040000,2026-06-30,전북특별자치도,남원시,보절면,1253,709,420,171,298,411,56.58419792498005
5219041000,2026-06-30,전북특별자치도,남원시,산동면,1564,839,477,176,359,480,53.64450127877238
5219042000,2026-06-30,전북특별자치도,남원시,이백면,2054,964,500,196,417,547,46.93281402142161
5219045000,2026-06-30,전북특별자치도,남원시,아영면,1763,869,451,146,379,490,49.29098128190584
5219046000,2026-06-30,전북특별자치도,남원시,산내면,1965,765,387,135,343,422,38.93129770992366
5219047000,2026-06-30,전북특별자치도,남원시,인월면,2644,1155,557,163,495,660,43.68381240544629
5219051000,2026-06-30,전북특별자치도,남원시,동충동,2788,1009,529,165,410,599,36.19081779053085
5219052000,2026-06-30,전북특별자치도,남원시,죽항동,2788,1076,559,151,437,639,38.59397417503587
5219054000,2026-06-30,전북특별자치도,남원시,노암동,5751,1483,657,170,622,861,25.786819683533295
5219055000,2026-06-30,전북특별자치도,남원시,금동,5703,1750,822,211,709,1041,30.685604068034365
5219056000,2026-06-30,전북특별자치도,남원시,왕정동,5352,1496,692,191,625,871,27.95216741405082
5219057000,2026-06-30,전북특별자치도,남원시,향교동,6316,2119,996,336,947,1172,33.54971500949968
5219059000,2026-06-30,전북특별자치도,남원시,도통동,16457,2977,1166,325,1285,1692,18.08956674971137
5221025000,2026-06-30,전북특별자치도,김제시,만경읍,2529,1263,589,218,570,693,49.940688018979834
5221032000,2026-06-30,전북특별자치도,김제시,죽산면,2281,1250,657,238,531,719,54.800526085050414
5221033000,2026-06-30,전북특별자치도,김제시,백산면,3941,1220,592,180,551,669,30.956609997462575
5221034000,2026-06-30,전북특별자치도,김제시,용지면,3272,1635,873,299,750,885,49.969437652811735
5221035000,2026-06-30,전북특별자치도,김제시,백구면,3531,1584,825,273,672,912,44.85981308411215
5221036000,2026-06-30,전북특별자치도,김제시,부량면,1257,635,336,116,262,373,50.51710421638823
5221038000,2026-06-30,전북특별자치도,김제시,공덕면,2416,1127,536,200,535,592,46.647350993377486
