시나리오,추가기관합계,평균공급률,중앙공급률,최솟값,지니계수,Theil지수,공급0지역수
균등배분,200,8.56879540129058,8.441362677117878,3.445899379738112,0.15080845873237253,0.036161262632662165,0
수요비례,200,8.382159868804859,8.197300544131156,2.7567195037904892,0.15624581496904746,0.03905881275536823,0
취약지역우선,200,8.679720809742845,8.379888268156424,4.897692642577275,0.12425838530762308,0.024791149531062696,0
형평성최소화_탐욕기준,200,8.56467136694161,8.122157244964262,6.441053798637876,0.12207028130956818,0.024105997434359164,0
