입력추가기관수,시나리오,추가기관합계,평균공급률,중앙공급률,최솟값,지니계수,Theil지수,공급0지역수
50,균등배분,50,8.34281254557744,8.319852091518374,2.756719503790489,0.1569281008751796,0.0392436749343416,0
50,수요비례,50,8.271952416170967,8.139792081397921,2.756719503790489,0.1580006353487853,0.039850612097989,0
50,취약지역우선,50,8.360077654754818,8.122157244964262,3.445899379738112,0.1456888344421874,0.0336943521516099,0
50,형평성최소화_탐욕기준,50,8.348150279925393,8.122157244964262,5.268356931182087,0.1454701139654145,0.0330374242526339,0
100,균등배분,100,8.44161536772504,8.384645617712565,2.756719503790489,0.1545216829007201,0.0382546481337866,0
100,수요비례,100,8.30288992014185,8.177570093457943,2.756719503790489,0.1582274903885384,0.0400179401672398,0
100,취약지역우선,100,8.470310037415386,8.176376113301211,4.135079255685734,0.1358524978366287,0.0294316044397029,0
100,형평성최소화_탐욕기준,100,8.437715383465278,8.122157244964262,5.822416302765648,0.1355027834572255,0.0288743655216904,0
200,균등배분,200,8.56879540129058,8.441362677117878,3.445899379738112,0.1508084587323725,0.0361612626326621,0
200,수요비례,200,8.382159868804859,8.197300544131156,2.756719503790489,0.1562458149690474,0.0390588127553682,0
200,취약지역우선,200,8.679720809742845,8.379888268156424,4.897692642577275,0.124258385307623,0.0247911495310626,0
200,형평성최소화_탐욕기준,200,8.56467136694161,8.122157244964262,6.441053798637876,0.1220702813095681,0.0241059974343591,0
