장기요양기관코드,기관유형코드,기관유형명,정원,현원
11123000007,A01,노인요양시설,25,0
11123000008,A03,노인요양시설(개정법),120,120
11123000009,A03,노인요양시설(개정법),46,46
11123000011,A04,노인요양공동생활가정,6,6
11123000012,A04,노인요양공동생활가정,9,9
11123000022,A01,노인요양시설,,38
11123000022,A03,노인요양시설(개정법),29,25
11123000030,A04,노인요양공동생활가정,9,7
11123000045,A04,노인요양공동생활가정,9,9
11123000047,A04,노인요양공동생활가정,9,8
11123000055,A03,노인요양시설(개정법),98,89
11123000058,A04,노인요양공동생활가정,9,9
11123000061,A04,노인요양공동생활가정,9,8
11123000064,A04,노인요양공동생활가정,9,7
11123000090,A04,노인요양공동생활가정,9,8
11123000090,A05,노인요양시설(단기보호 전환),20,21
11123000091,A05,노인요양시설(단기보호 전환),15,14
11123000092,A05,노인요양시설(단기보호 전환),24,20
11123000093,A04,노인요양공동생활가정,9,6
11123000093,A05,노인요양시설(단기보호 전환),44,31
11123000094,A05,노인요양시설(단기보호 전환),9,8
11123000111,A04,노인요양공동생활가정,9,0
11123000113,A03,노인요양시설(개정법),29,15
11123000126,A04,노인요양공동생활가정,9,9
11123000127,A03,노인요양시설(개정법),98,1
11123000128,A04,노인요양공동생활가정,9,9
11123000128,A05,노인요양시설(단기보호 전환),24,22
11123000129,A04,노인요양공동생활가정,9,9
11123000133,A05,노인요양시설(단기보호 전환),15,15
11123000138,A04,노인요양공동생활가정,9,9
11123000139,A04,노인요양공동생활가정,9,8
11123000142,A04,노인요양공동생활가정,9,9
11123000143,A03,노인요양시설(개정법),21,17
11123000144,A04,노인요양공동생활가정,9,9
11123000147,A04,노인요양공동생활가정,9,9
11123000148,A04,노인요양공동생활가정,9,6
11123000159,A04,노인요양공동생활가정,,9
11123000160,A04,노인요양공동생활가정,9,8
11123000171,A04,노인요양공동생활가정,9,9
11123000176,A04,노인요양공동생활가정,,8
11123000177,A04,노인요양공동생활가정,,8
11123000187,A04,노인요양공동생활가정,,9
11123000191,A04,노인요양공동생활가정,9,9
11123000194,A04,노인요양공동생활가정,9,8
11123000199,A04,노인요양공동생활가정,,8
11123000200,A04,노인요양공동생활가정
11123000201,A04,노인요양공동생활가정,,9
11123000202,A04,노인요양공동생활가정,,9
11123000218,A04,노인요양공동생활가정,9,9
11123000224,A04,노인요양공동생활가정,,9
11123000226,A04,노인요양공동생활가정,,9
11123000232,A04,노인요양공동생활가정,,9
11123000241,A04,노인요양공동생활가정,9,9
11123000246,A04,노인요양공동생활가정,9,9
11123000254,A04,노인요양공동생활가정,9,8
11123000255,A04,노인요양공동생활가정,9,6
11123000256,A04,노인요양공동생활가정,9
11123000260,A03,노인요양시설(개정법),9,1
11123000261,A03,노인요양시설(개정법),9,9
11123000262,A03,노인요양시설(개정법),9,1
11123000263,A03,노인요양시설(개정법),9,1
11123000267,A04,노인요양공동생활가정,7,6
11123000268,A04,노인요양공동생활가정,9,9
11123000270,A04,노인요양공동생활가정,9,8
11123000282,A04,노인요양공동생활가정,9,9
11123000283,A04,노인요양공동생활가정,9,6
11123000284,A04,노인요양공동생활가정,9,8
11123000285,A04,노인요양공동생활가정,9,9
11123000292,A04,노인요양공동생활가정,9,9
11123000303,A04,노인요양공동생활가정,9,9
11123000307,A04,노인요양공동생활가정,9,9
11123000332,A04,노인요양공동생활가정,9,9
11123000337,A04,노인요양공동생활가정,9,8
11123000340,A04,노인요양공동생활가정,9,7
