run_id,strategy,unallocated_resource
20260727T063718Z_visit_care_institution_demand_proportional,demand_proportional,0
20260727T063718Z_visit_care_institution_shortage_priority,shortage_priority,0
20260727T063718Z_visit_care_institution_zero_provider_priority,zero_provider_priority,0
20260727T063718Z_visit_care_institution_vulnerability_priority,vulnerability_priority,0
