longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,adminNm,adminPttnCd,longTermAdminSym,longTermPeribRgtDt,siDoCd,siGunGuCd,stpRptDt
,,,,,,,붓다마을,G32,11138000065,20090703,11,380,20090703
,,,,,,,시립서부노인전문요양센터,G33,11144000012,20080604,11,440,20080604
,,,,,,,사회복지법인 운가자비원 운가데이케어센터,H31,21130500237,20150921,11,305,20150921
,,,,,,,서울여자간호대학교 휴먼캐슬,A03,11111000076,20130530,11,110,20130530
,,,,,,,금호무지개요양원,A04,11120000190,20221230,11,200,20221223
,,,,,,,종로이화재가복지센터,B01,21111000130,20220307,11,110,20220303
,,,,,,,우리재가복지센터,B02,21111000139,20231205,11,110,20231205
,,,,,,,수석데이케어센터,B03,21111000136,20230531,11,110,20230531
,,,,,,,"소망재가복지 (단기보호, 방문요양)",B04,21123000372,20220324,11,230,20220324
,,,,,,,아가페방문간호센터,B05,21117000191,20260106,11,170,20260106
,,,,,,,우리의료기,B06,21120000194,20231024,11,200,20230927
,,,,,,,운화실버복지센터,C01,31111000074,20130122,11,110,20130122
,,,,,,,세종노인요양복지센터,C02,31111000118,20191031,11,110,20191031
,,,,,,,행복드림데이케어센터,C03,31132000157,20100524,11,320,20100524
,,,,,,,도봉요양원,C04,31132000320,20141204,11,320,20141204
,,,,,,,(A+)성동구방문요양간호센터,C05,31120000015,20080630,11,200,20080630
,,,,,,,천사랑 노인복지센터,C06,31117000029,20090305,11,170,20090304
,,,,,,,강북실버종합복지센터,G31,11130500172,20130516,11,305,20130515
,,,,,,,시립서부노인전문요양센터,G32,11144000012,20080604,11,440,20080604
,,,,,,,시립강동실버케어센터,G33,11174000422,20230821,11,740,20230821
,,,,,,,아가페실버센터,A03,12911000006,20080527,12,210,20070601
,,,,,,,효드림노인복지센터,A04,12911000096,20140529,12,210,20140529
,,,,,,,아가페실버센터,B01,22911000007,20080527,12,210,20070601
,,,,,,,C.C.C.동구노인복지센터,B02,22911000009,20080619,12,210,20030301
,,,,,,,C.C.C.동구노인복지센터,B03,22911000009,20080619,12,210,20030301
,,,,,,,강진노인복지센터,B04,24681000003,20080603,12,780,20080526
,,,,,,,예향노인복지센터,B05,22911000312,20190905,12,210,20190905
,,,,,,,한국의료기기,B06,22911000331,20211007,12,210,20210909
,,,,,,,희망노인복지센터,C01,32911000065,20090218,12,210,20090218
,,,,,,,희망노인복지센터,C02,32911000065,20090218,12,210,20090218
,,,,,,,광주재활센타,C03,32914000059,20080730,12,240,20080730
,,,,,,,하늘빛방문간호센터,C05,32911000323,20191217,12,210,20191217
,,,,,,,명성의료기,C06,32911000034,20080623,12,210,20080623
,,,,,,,해피맘요양원,G31,12911000256,20131202,12,210,20131202
,,,,,,,산책하는요양원,G32,14611000358,20260101,12,110,20260101
,,,,,,,산책하는요양원,G33,14611000358,20260101,12,110,20260101
,,,,,,,도양노인건강복지타운 치매전문요양원,G34,14677000160,20231020,12,740,20231020
,,,,,,,도양노인건강복지타운 치매전문요양원,G35,14677000160,20231020,12,740,20231020
,,,,,,,현대노인요양원,G36,14679000117,20111108,12,760,20111103
,,,,,,,인애W재가노인지원센터,H31,22915500115,20100507,12,270,20100507
,,,,,,,광양희망노인복지센터,I31,34623000025,20081103,12,190,20081028
,,,,,,,자혜요양원,M31,14611000001,20080528,12,810,19891215
,,,,,,,자혜요양원,M32,14611000001,20080528,12,810,19891215
,,,,,,,오손도손요양원,S41,12917000530,20190201,12,300,20190201
,,,,,,,꽃메요양원,A03,12911000013,20080529,12,210,20080317
,,,,,,,엠마의집,A04,12911000254,20131129,12,210,20131129
,,,,,,,C.C.C.동구노인복지센터,B01,22911000009,20080619,12,210,20030301
,,,,,,,대해노인복지센터,B02,22911000048,20081006,12,210,20081006
,,,,,,,꽃메요양원,B03,22911000014,20080529,12,210,20080317
,,,,,,,청람노인복지센터,B04,24687000001,20080527,12,830,20080523
,,,,,,,보라방문간호센터,B05,22911000349,20230830,12,210,20230808
,,,,,,,아이에스메티칼,B06,22911000333,20211228,12,210,20211228
,,,,,,,계림재가노인요양센터,C01,32911000079,20091230,12,210,20091230
,,,,,,,효사랑계림 노인복지센터,C02,32911000089,20100413,12,210,20100413
,,,,,,,광주서구노인주간보호센터,C03,32914000373,20170927,12,240,20170927
,,,,,,,365나눔노인장기요양기관,C05,32914000289,20141203,12,240,20141203
,,,,,,,광주의료기,C06,32911000047,20080910,12,210,20080910
,,,,,,,바라밀실버하우스,G31,12920000003,20080528,12,330,20080129
,,,,,,,낙안효자실버빌,G32,14615000134,20091009,12,150,20091009
,,,,,,,도양노인건강복지타운 치매전문요양원,G33,14677000160,20231020,12,740,20231020
,,,,,,,현대노인요양원,G34,14679000117,20111108,12,760,20111103
,,,,,,,현대노인요양원,G35,14679000117,20111108,12,760,20111103
,,,,,,,사랑방주야간보호센터,H31,22917000666,20210802,12,300,20210716
,,,,,,,마니원(입소),M31,14613000009,20080530,12,130,20080328
,,,,,,,소나무노인요양시설,M32,14613000122,20100301,12,130,20100301
,,,,,,,밀알노인요양공동생활가정,S41,14613000008,20080530,12,130,20080402
,,,,,,,천혜경로원,A03,12911000022,20080530,12,210,20070102
,,,,,,,알곡사랑요양원,A04,12915500209,20151110,12,270,20151110
,,,,,,,꽃메요양원,B01,22911000014,20080529,12,210,20080317
,,,,,,,예향노인복지센터,B02,22911000312,20190905,12,210,20190905
,,,,,,,대해노인복지센터,B03,22911000048,20081006,12,210,20081006
,,,,,,,어르신케어 종합복지센터 효드림,B04,24689000091,20210928,12,850,20210928
,,,,,,,뉴정나눔노인복지센터,B05,22911000356,20240927,12,210,20240909
,,,,,,,편한 의료기,B06,22911000338,20220630,12,210,20220607
,,,,,,,효사랑계림 노인복지센터,C01,32911000089,20100413,12,210,20100413
,,,,,,,한마음실버요양센터,C02,32911000090,20100429,12,210,20100429
,,,,,,,굿데이케어센터,C03,32914000392,20180608,12,240,20180608
,,,,,,,새로나재가노인요양복지센터,C05,32914000442,20191216,12,240,20191216
,,,,,,,효도의료기,C06,32911000074,20090720,12,210,20090713
,,,,,,,산책하는요양원,G31,14611000358,20260101,12,110,20260101
,,,,,,,나주시노인요양원,G32,14617000005,20080523,12,170,20060227
,,,,,,,현대노인요양원,G33,14679000117,20111108,12,760,20111103
,,,,,,,강진효요양원,G34,14681000051,20201015,12,780,20201015
,,,,,,,여수시 치매어르신 주야간보호센터 지혜마루,H31,24613000316,20201230,12,130,20201208
,,,,,,,나주시노인요양원,M31,14617000005,20080523,12,170,20060227
,,,,,,,도암 소망의집,S41,14681000017,20100225,12,780,20100225
,,,,,,,용연실버빌,A03,12911000052,20081031,12,210,20081028
,,,,,,,현대실버빌,A04,12917000275,20120201,12,300,20120201
,,,,,,,대해노인복지센터,B01,22911000048,20081006,12,210,20081006
,,,,,,,동구천사노인복지센터,B02,22911000326,20201218,12,210,20201209
,,,,,,,자연숲노인복지센터,B03,22911000327,20210318,12,210,20210219
,,,,,,,동행노인재가복지센터,B05,22914000463,20210201,12,240,20201222
,,,,,,,100세동안 실버케어,B06,22911000358,20241114,12,210,20241114
,,,,,,,한마음실버요양센터,C01,32911000090,20100429,12,210,20100429
,,,,,,,한가족복지센터,C02,32911000273,20151112,12,210,20151112
,,,,,,,더불어노인주간보호센터,C03,32914000395,20180903,12,240,20180903
,,,,,,,구구팔팔재가복지센터,C05,32914000453,20191224,12,240,20191224
,,,,,,,태광의료기,C06,32911000275,20160128,12,210,20160128
,,,,,,,낙안효자실버빌,G31,14615000134,20091009,12,150,20091009
,,,,,,,마로현노인요양원,G32,14623000165,20210709,12,190,20210709
,,,,,,,강진효요양원,G33,14681000051,20201015,12,780,20201015
,,,,,,,재단법인 전라남도사회서비스원 순천시 실버주야간보호센터,H31,24615000385,20220823,12,150,20220809
,,,,,,,다솜노인요양공동생활가정,S41,14684000082,20151201,12,810,20151201
,,,,,,,나눔요양원,A03,12911000086,20100301,12,210,20100301
,,,,,,,정드림케어하우스,A04,12917000295,20130102,12,300,20130102
,,,,,,,선인종합재가센터,B01,22911000287,20161229,12,210,20161229
,,,,,,,다정한노인재가복지센터,B02,22911000339,20220824,12,210,20220714
,,,,,,,계림노인주간보호센터,B03,22911000334,20211228,12,210,20211202
,,,,,,,최하현 방문간호 요양센터,B05,22914000471,20211025,12,240,20210915
,,,,,,,미래로의료기,B06,22911000371,20260223,12,210,20251212
,,,,,,,광주여성노인재가센터,C01,32911000239,20120105,12,210,20120105
,,,,,,,조은재가복지센터,C02,32911000292,20171212,12,210,20171212
,,,,,,,"상무노인복지학교(주간보호,치매예방교육)",C03,32914000399,20181016,12,240,20181016
,,,,,,,사랑손통합재가센터,C05,32915500289,20190826,12,270,20190826
,,,,,,,믿음의료기,C06,32911000288,20170322,12,210,20170322
,,,,,,,효자노인복지센터,G31,14615000152,20100301,12,150,20100301
,,,,,,,도양노인건강복지타운 치매전문요양원,G32,14677000160,20231020,12,740,20231020
,,,,,,,더편한데이케어,H31,24615000419,20240326,12,150,20240301
,,,,,,,엄마의봄날 노인요양공동생활가정,S41,14684000116,20220413,12,810,20220413
,,,,,,,해피맘요양원,A03,12911000256,20131202,12,210,20131202
,,,,,,,굿모닝노인요양원,A03,12611000104,20211122,26,110,20211110
,,,,,,,지혜실버홈,A04,12617000090,20130814,26,170,20130814
,,,,,,,중구재가노인지원서비스센터,B01,22611000001,20080528,26,110,20070112
,,,,,,,우리재가복지센터,B02,22611000100,20201119,26,110,20201016
,,,,,,,중구재가노인지원서비스센터,B03,22611000001,20080528,26,110,20070112
,,,,,,,부산광역시노인건강센터 단기보호,B04,22653000194,20231218,26,530,20231124
,,,,,,,신창통합재가복지센터,B05,22611000111,20231010,26,110,20230720
,,,,,,,신기의료기 중구점,B06,22611000108,20220926,26,110,20220825
,,,,,,,로뎀나무아래요양보호사파견센터,C01,32611000008,20080616,26,110,20080616
,,,,,,,현대종합복지센터,C02,32611000042,20091229,26,110,20091229
,,,,,,,한울타리재가노인복지센터,C03,32611000060,20140424,26,110,20140424
,,,,,,,한울타리재가노인복지센터,C05,32611000060,20140424,26,110,20140424
,,,,,,,현대의료복지용구센터,C06,32611000015,20080709,26,110,20080709
,,,,,,,평화노인요양원,G31,12638000008,20080527,26,380,20080527
,,,,,,,평화노인요양원,G32,12638000008,20080527,26,380,20080527
,,,,,,,애광노인치매전문요양원,G33,12641000003,20080530,26,410,19981027
,,,,,,,애광노인치매전문요양원,G34,12641000003,20080530,26,410,19981027
,,,,,,,다사랑치매전문주간보호센터,H31,22623000393,20210908,26,230,20210908
,,,,,,,애광재가노인복지기관,H32,22641000013,20080530,26,410,19951230
,,,,,,,(주)부산데이케어 부산주간보호,I31,32647000158,20170807,26,470,20170807
,,,,,,,(주)부산데이케어 부산주간보호,I32,32647000158,20170807,26,470,20170807
,,,,,,,파랑새노인건강센터,M31,12620000004,20080530,26,200,20030509
,,,,,,,파랑새노인건강센터,M32,12620000004,20080530,26,200,20030509
,,,,,,,안나노인건강센터,A03,12614000008,20080529,26,140,20080529
,,,,,,,소망노인복지센터,A04,12623000091,20090430,26,230,20090429
,,,,,,,우리재가복지센터,B01,22611000100,20201119,26,110,20201016
,,,,,,,(주)돌보미재가복지센터,B02,22611000101,20210916,26,110,20210906
