longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,adminPttnCd,fmNowPer,fmRsvPer,longTermAdminSym,maNowPer,maRsvPer,totPer
31132000294,C04,11,320,도봉효드림요양원,00,NORMAL SERVICE.,C04,4,2,31132000294,5,,9
31132000320,C04,11,320,도봉요양원,00,NORMAL SERVICE.,C04,2,,31132000320,1,,9
31114000018,C05,11,140,우영요양센터,00,NORMAL SERVICE.,C05,,,31114000018,,,
31117000098,C05,11,170,새봄간호요양센타,00,NORMAL SERVICE.,C05,,,31117000098,,,0
31117000121,C05,11,170,고운손방문요양센터주식회사,00,NORMAL SERVICE.,C05,,,31117000121,,,0
31117000148,C05,11,170,참사랑복지센터,00,NORMAL SERVICE.,C05,0,,31117000148,0,,0
31120000015,C05,11,200,(A+)성동구방문요양간호센터,00,NORMAL SERVICE.,C05,,,31120000015,,,
31111000012,C06,11,110,(주)이원건강의료기,00,NORMAL SERVICE.,C06,,,31111000012,,,0
31111000015,C06,11,110,(주)통일의료기,00,NORMAL SERVICE.,C06,,,31111000015,,,
31111000042,C06,11,110,제일복지용구,00,NORMAL SERVICE.,C06,,,31111000042,,,
31114000063,C06,11,140,명신,00,NORMAL SERVICE.,C06,,,31114000063,,,0
31117000029,C06,11,170,천사랑 노인복지센터,00,NORMAL SERVICE.,C06,,,31117000029,,,0
11120000010,G31,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,G31,11,40,11120000010,4,22,16
11123000381,G31,11,230,시립동대문실버케어센터,00,NORMAL SERVICE.,G31,8,,11123000381,4,,12
11126000271,G31,11,260,서울시립중랑노인전문요양원,00,NORMAL SERVICE.,G31,16,,11126000271,,,16
11129000365,G31,11,290,e포근한요양원,00,NORMAL SERVICE.,G31,8,2,11129000365,6,1,14
11130500172,G31,11,305,강북실버종합복지센터,00,NORMAL SERVICE.,G31,9,0,11130500172,2,0,12
11120000010,G32,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,G32,16,40,11120000010,0,0,16
11123000381,G32,11,230,시립동대문실버케어센터,00,NORMAL SERVICE.,G32,11,,11123000381,0,,11
11126000271,G32,11,260,서울시립중랑노인전문요양원,00,NORMAL SERVICE.,G32,13,,11126000271,3,,16
11138000065,G32,11,380,붓다마을,00,NORMAL SERVICE.,G32,0,0,11138000065,12,3,12
11144000012,G32,11,440,시립서부노인전문요양센터,00,NORMAL SERVICE.,G32,12,0,11144000012,0,0,12
11120000010,G33,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,G33,12,40,11120000010,4,22,16
11123000381,G33,11,230,시립동대문실버케어센터,00,NORMAL SERVICE.,G33,10,,11123000381,4,,14
11138000065,G33,11,380,붓다마을,00,NORMAL SERVICE.,G33,16,3,11138000065,0,0,16
11144000012,G33,11,440,시립서부노인전문요양센터,00,NORMAL SERVICE.,G33,12,0,11144000012,0,0,12
11174000422,G33,11,740,시립강동실버케어센터,00,NORMAL SERVICE.,G33,7,56,11174000422,5,28,12
11120000010,G34,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,G34,12,40,11120000010,4,21,16
11120000010,G35,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,G35,11,40,11120000010,4,21,16
11120000010,G36,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,G36,12,40,11120000010,4,21,16
11120000010,G37,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,G37,12,39,11120000010,3,21,16
11120000010,G38,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,G38,12,39,11120000010,4,21,16
21111000066,H31,11,110,보현데이케어센터,00,NORMAL SERVICE.,H31,17,4,21111000066,3,1,20
21114000036,H31,11,140,신당데이케어센터,00,NORMAL SERVICE.,H31,13,0,21114000036,0,0,16
21120000068,H31,11,200,구립성수1가2동서울숲데이케어센터,00,NORMAL SERVICE.,H31,16,2,21120000068,4,2,21
21130500237,H31,11,305,사회복지법인 운가자비원 운가데이케어센터,00,NORMAL SERVICE.,H31,5,0,21130500237,2,0,7
21141000342,H32,11,410,구립가재울데이케어센터,00,NORMAL SERVICE.,H32,0,,21141000342,0,,24
