연도,성별,연령,인정등급,이용자 실인원수(전체),이용자 실인원수(재가 및 복지용구),이용자 실인원수(재가),이용자 실인원수(시설),이용자수(방문요양),이용자수(방문목욕),이용자수(방문간호),이용자수(주야간보호),이용자수(치매전담형주야간보호),이용자수(단기보호),이용자수(복지용구),이용자수(가족요양비),이용자수(노인요양시설),이용자수(시설내치매전담실가형),이용자수(시설내치매전담실나형),이용자수(노인요양공동생활가정),이용자수(치매전담형공동생활가정)
2025,여자,75-79세,3등급,21214,17435,15900,4937,13478,2109,486,3263,80,46,13173,16,4605,123 ,9 ,296 ,9 
2025,여자,75-79세,4등급,43475,40461,38357,4643,31932,4343,705,7670,158,57,26499,40,4290,127 ,22 ,287 ,13 
2025,여자,75-79세,5등급,12244,11907,11426,427,6637,878,142,5075,141,12,5556,12,400,15 ,*,21 ,0 
2025,여자,75-79세,인지지원등급,1318,1318,1029,0,28,*,0,976,32,0,471,0,0,0 ,0 ,0 ,0 
2025,여자,80-84세,1등급,6304,3218,2274,3415,2119,459,448,220,7,8,2952,*,3183,10 ,*,267 ,*
2025,여자,80-84세,2등급,12587,7345,6088,6146,5621,1208,437,808,23,37,6384,*,5720,48 ,7 ,452 ,7 
2025,여자,80-84세,3등급,44477,34748,31989,12579,26541,4832,750,7523,179,114,26171,31,11781,277 ,33 ,719 ,23 
2025,여자,80-84세,4등급,91054,83660,79641,11787,63273,11144,1346,19611,413,144,54273,114,10951,377 ,31 ,647 ,40 
2025,여자,80-84세,5등급,25123,24548,23536,751,13301,2309,207,10852,313,23,11813,21,697,31 ,*,39 ,*
2025,여자,80-84세,인지지원등급,2135,2135,1685,0,33,*,*,1615,40,0,750,0,0,0 ,0 ,0 ,0 
2025,여자,85세이상,1등급,17095,8177,6449,9750,6133,1344,1034,427,14,46,7451,*,9020,21 ,0 ,817 ,*
2025,여자,85세이상,2등급,40063,20825,18084,21987,16743,3767,1227,2129,38,146,18025,19,20409,143 ,21 ,"1,704 ",23 
2025,여자,85세이상,3등급,122321,86170,80227,45039,65786,13959,1880,19577,433,391,63897,88,41919,958 ,108 ,"2,767 ",104 
2025,여자,85세이상,4등급,193856,169382,162210,36768,124378,28591,2447,44933,902,379,107187,213,34061,907 ,116 ,"2,309 ",135 
2025,여자,85세이상,5등급,35139,34085,32766,1312,18301,4109,320,15128,401,41,16328,54,1223,34 ,*,76 ,*
2025,여자,85세이상,인지지원등급,1810,1810,1417,*,22,6,*,1344,53,*,645,0,*,0 ,0 ,0 ,0 
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
