year,province,sigungu,kosis_region_code,unique_benefit_users_total,home_service_user_sum,home_service_days,home_provider_count_sum,facility_service_user_sum,facility_service_days,facility_provider_count_sum,facility_user_share_proxy_pct,home_user_share_proxy_pct
2013,경기,시흥시,15350AC400H126,2471.0,3097.0,321469.0,660.0,1188.0,258561.0,418.0,48.0777013354917,125.33387292594091
2013,경기,안산시단원구,15350AC400H118,1379.0,1388.0,120119.0,444.0,931.0,184936.0,313.0,67.51269035532995,100.65264684554025
2013,경기,안산시상록구,15350AC400H117,1956.0,2277.0,204084.0,547.0,1226.0,229226.0,351.0,62.67893660531697,116.41104294478528
2013,경기,안성시,15350AC400H135,1502.0,1218.0,103091.0,360.0,1017.0,216627.0,195.0,67.70972037283622,81.0918774966711
2013,경기,안양시동안구,15350AC400H110,2022.0,2618.0,259575.0,790.0,979.0,184408.0,445.0,48.417408506429275,129.4757665677547
2013,경기,안양시만안구,15350AC400H109,1804.0,2298.0,226110.0,601.0,925.0,187650.0,348.0,51.274944567627486,127.38359201773837
2013,경기,양주시,15350AC400H139,1812.0,2191.0,224800.0,579.0,910.0,193710.0,303.0,50.22075055187638,120.91611479028697
2013,경기,양평군,15350AC400H144,1386.0,1215.0,118300.0,400.0,840.0,178086.0,206.0,60.60606060606061,87.66233766233766
2013,경기,여주시,15350AC400H147,1365.0,1418.0,141794.0,318.0,718.0,145828.0,174.0,52.600732600732606,103.8827838827839
2013,경기,연천군,15350AC400H142,650.0,635.0,61573.0,154.0,452.0,92607.0,105.0,69.53846153846153,97.6923076923077
2013,경기,오산시,15350AC400H125,944.0,1041.0,97545.0,317.0,574.0,111883.0,235.0,60.80508474576271,110.27542372881356
2013,경기,용인시기흥구,15350AC400H131,2187.0,2508.0,236651.0,798.0,1202.0,237341.0,481.0,54.96113397347965,114.67764060356653
2013,경기,용인시수지구,15350AC400H132,1926.0,2313.0,210175.0,709.0,1133.0,196433.0,445.0,58.82658359293873,120.09345794392523
2013,경기,용인시처인구,15350AC400H130,1854.0,1944.0,183766.0,480.0,1273.0,238791.0,326.0,68.66235167206041,104.85436893203884
2013,경기,의왕시,15350AC400H128,1008.0,1193.0,115153.0,470.0,536.0,110552.0,245.0,53.17460317460318,118.35317460317461
2013,경기,의정부시,15350AC400H108,3671.0,4734.0,452326.0,884.0,2107.0,376577.0,468.0,57.39580495777717,128.95668755107602
2013,경기,이천시,15350AC400H134,1799.0,2097.0,208704.0,397.0,928.0,197349.0,243.0,51.58421345191774,116.56475819899946
2013,경기,파주시,15350AC400H133,3008.0,3117.0,302146.0,803.0,1749.0,376750.0,437.0,58.14494680851063,103.62367021276594
2013,경기,평택시,15350AC400H115,3019.0,3406.0,304520.0,654.0,1608.0,318589.0,405.0,53.26266975819808,112.81881417687975
2013,경기,포천시,15350AC400H140,1911.0,2424.0,229225.0,420.0,893.0,190176.0,255.0,46.7294610151753,126.84458398744114
2013,경기,하남시,15350AC400H129,1009.0,1167.0,109936.0,357.0,489.0,112117.0,229.0,48.46382556987116,115.65906838453914
2013,경기,화성시,15350AC400H137,3010.0,3093.0,280573.0,905.0,1877.0,392563.0,541.0,62.35880398671097,102.75747508305648
2013,경남,거제시,15350AC400O111,1011.0,942.0,87936.0,263.0,445.0,111505.0,148.0,44.01582591493571,93.17507418397626
2013,경남,거창군,15350AC400O121,1130.0,1293.0,118092.0,228.0,602.0,127422.0,113.0,53.27433628318584,114.42477876106194
2013,경남,고성군,15350AC400O116,718.0,791.0,61379.0,186.0,423.0,83938.0,93.0,58.91364902506964,110.16713091922006
2013,경남,김해시,15350AC400O109,1765.0,2207.0,213643.0,571.0,737.0,142078.0,201.0,41.756373937677054,125.04249291784701
2013,경남,남해군,15350AC400O117,1038.0,1419.0,115532.0,245.0,420.0,82954.0,90.0,40.46242774566474,136.7052023121387
2013,경남,밀양시,15350AC400O110,1348.0,1985.0,162702.0,241.0,660.0,140168.0,115.0,48.96142433234421,147.25519287833828
2013,경남,사천시,15350AC400O108,1362.0,1787.0,163984.0,241.0,543.0,135633.0,99.0,39.86784140969163,131.20411160058737
2013,경남,산청군,15350AC400O119,798.0,808.0,78074.0,187.0,511.0,100609.0,86.0,64.03508771929825,101.2531328320802
2013,경남,양산시,15350AC400O112,1459.0,1824.0,190673.0,412.0,598.0,118275.0,142.0,40.986977381768334,125.01713502398903
2013,경남,의령군,15350AC400O113,605.0,754.0,70682.0,141.0,329.0,57959.0,83.0,54.3801652892562,124.62809917355371
2013,경남,진주시,15350AC400O106,2958.0,3958.0,386075.0,429.0,1305.0,286756.0,180.0,44.11764705882353,133.80662609871536
2013,경남,창녕군,15350AC400O115,926.0,1150.0,103284.0,256.0,333.0,77475.0,99.0,35.96112311015119,124.19006479481642
