year,province,sigungu,kosis_region_code,service_type,benefit_users,provider_count_used,service_days,benefit_cost_thousand_krw,nhis_payment_thousand_krw
2013,강원,속초시,15350AC400I106,방문간호,2.0,2.0,49.0,1562.0,1335.0
2013,강원,속초시,15350AC400I106,방문목욕,161.0,26.0,4140.0,200471.0,184419.0
2013,강원,속초시,15350AC400I106,방문요양,579.0,69.0,101358.0,3540543.0,3246136.0
2013,강원,속초시,15350AC400I106,복지용구,368.0,31.0,0.0,175879.0,164152.0
2013,강원,속초시,15350AC400I106,주야간보호,153.0,17.0,24223.0,826093.0,750712.0
2013,강원,양구군,15350AC400I115,계,326.0,85.0,70263.0,2839481.0,2566881.0
2013,강원,양구군,15350AC400I115,노인요양공동생활가정,10.0,11.0,1804.0,78533.0,67517.0
2013,강원,양구군,15350AC400I115,노인요양시설,170.0,25.0,36579.0,1699658.0,1533884.0
2013,강원,양구군,15350AC400I115,노인요양시설(구법),1.0,1.0,121.0,4470.0,3585.0
2013,강원,양구군,15350AC400I115,노인요양시설(단기보호전환),2.0,2.0,180.0,7139.0,6099.0
2013,강원,양구군,15350AC400I115,노인전문요양시설(구법),63.0,5.0,6097.0,217200.0,200126.0
2013,강원,양구군,15350AC400I115,단기보호,1.0,2.0,50.0,1855.0,1577.0
2013,강원,양구군,15350AC400I115,방문간호,0.0,0.0,0.0,0.0,0.0
2013,강원,양구군,15350AC400I115,방문목욕,41.0,6.0,1298.0,51212.0,46776.0
2013,강원,양구군,15350AC400I115,방문요양,129.0,22.0,19812.0,599529.0,544502.0
2013,강원,양구군,15350AC400I115,복지용구,56.0,23.0,0.0,27523.0,24878.0
2013,강원,양구군,15350AC400I115,주야간보호,36.0,4.0,4322.0,152362.0,137938.0
2013,강원,양양군,15350AC400I118,계,553.0,125.0,123342.0,5091967.0,4632551.0
2013,강원,양양군,15350AC400I118,노인요양공동생활가정,11.0,10.0,2308.0,103293.0,86796.0
2013,강원,양양군,15350AC400I118,노인요양시설,224.0,32.0,50591.0,2390211.0,2186864.0
2013,강원,양양군,15350AC400I118,노인요양시설(구법),1.0,1.0,176.0,6525.0,6525.0
2013,강원,양양군,15350AC400I118,노인요양시설(단기보호전환),2.0,2.0,263.0,9748.0,7591.0
2013,강원,양양군,15350AC400I118,노인전문요양시설(구법),108.0,10.0,11247.0,529170.0,481954.0
2013,강원,양양군,15350AC400I118,단기보호,3.0,3.0,158.0,6244.0,5453.0
2013,강원,양양군,15350AC400I118,방문간호,1.0,1.0,4.0,192.0,163.0
2013,강원,양양군,15350AC400I118,방문목욕,42.0,13.0,765.0,43923.0,38438.0
2013,강원,양양군,15350AC400I118,방문요양,254.0,40.0,43119.0,1449426.0,1313992.0
2013,강원,양양군,15350AC400I118,복지용구,120.0,28.0,0.0,58593.0,53828.0
2013,강원,양양군,15350AC400I118,주야간보호,84.0,14.0,14711.0,494642.0,450947.0
2013,강원,영월군,15350AC400I110,계,713.0,164.0,144434.0,6040435.0,5317631.0
