longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,cyclTm,longTermAdminSym,pgmNm,pgmType,runPlc,tgtNop
31117000098,C05,11,170,새봄간호요양센타,00,NORMAL SERVICE.,,,,,,
31117000121,C05,11,170,고운손방문요양센터주식회사,00,NORMAL SERVICE.,,,,,,
31117000148,C05,11,170,참사랑복지센터,00,NORMAL SERVICE.,,,,,,
31120000015,C05,11,200,(A+)성동구방문요양간호센터,00,NORMAL SERVICE.,,,,,,
31111000012,C06,11,110,(주)이원건강의료기,00,NORMAL SERVICE.,,,,,,
31111000015,C06,11,110,(주)통일의료기,00,NORMAL SERVICE.,,,,,,
31111000042,C06,11,110,제일복지용구,00,NORMAL SERVICE.,,,,,,
31114000063,C06,11,140,명신,00,NORMAL SERVICE.,,,,,,
31117000029,C06,11,170,천사랑 노인복지센터,00,NORMAL SERVICE.,,,,,,
11120000010,G31,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,1,11120000010,명절행사,3,"각 요양실, 층 중앙거실, 1층 강당",296
11123000381,G31,11,230,시립동대문실버케어센터,00,NORMAL SERVICE.,1,11123000381,미로탐험,4,치매전담실 1실,12
11126000271,G31,11,260,서울시립중랑노인전문요양원,00,NORMAL SERVICE.,1,11126000271,힐링타임,1,다정동 3층 프로그램실,10
11129000365,G31,11,290,e포근한요양원,00,NORMAL SERVICE.,1,11129000365,"치매체조, 공놀이, 예날가요부르기, 미술활동 등",4,2층 프로그램실,14
