run_id,region_code,sido_name,sigungu_name,service,resource_type,strategy,demand_value,baseline_resource,allocated_resource,after_resource,current_supply_rate,after_supply_rate,continuous_gap,after_gap,integer_need,after_integer_need,provider_missing,after_provider_missing,allocation_order,allocation_reason
20260727T070227Z_visit_nursing_institution_demand_proportional,41800,경기도,연천군,visit_nursing,institution,demand_proportional,1694.5,1.0,0,1.0,0.5901445854234287,0.5901445854234287,0.0,0.0,0,0,False,False,,
20260727T070227Z_visit_nursing_institution_demand_proportional,41820,경기도,가평군,visit_nursing,institution,demand_proportional,2497.5,1.0,0,1.0,0.4004004004004004,0.4004004004004004,0.03249907201920732,0.03249907201920732,1,1,False,False,,
20260727T070227Z_visit_nursing_institution_demand_proportional,41830,경기도,양평군,visit_nursing,institution,demand_proportional,4810.5,1.0,1,2.0,0.20787859889824342,0.41575719779648684,0.9887234378171756,0.0,1,0,False,False,1,수요비례 최대잔여·재배분
20260727T070227Z_visit_nursing_institution_demand_proportional,43720,충청북도,보은군,visit_nursing,institution,demand_proportional,1853.5,0.0,0,0.0,0.0,0.0,0.7662610730681083,0.7662610730681083,1,1,True,True,,
20260727T070227Z_visit_nursing_institution_demand_proportional,43730,충청북도,옥천군,visit_nursing,institution,demand_proportional,2494.5,2.0,0,2.0,0.8017638805371818,0.8017638805371818,0.0,0.0,0,0,False,False,,
20260727T070227Z_visit_nursing_institution_demand_proportional,43740,충청북도,영동군,visit_nursing,institution,demand_proportional,2642.5,2.0,0,2.0,0.7568590350047304,0.7568590350047304,0.0,0.0,0,0,False,False,,
20260727T070227Z_visit_nursing_institution_demand_proportional,43745,충청북도,증평군,visit_nursing,institution,demand_proportional,1208.5,0.0,0,0.0,0.0,0.0,0.4996096610751599,0.4996096610751599,1,1,True,True,,
20260727T070227Z_visit_nursing_institution_demand_proportional,43750,충청북도,진천군,visit_nursing,institution,demand_proportional,1967.5,1.0,0,1.0,0.5082592121982211,0.5082592121982211,0.0,0.0,0,0,False,False,,
20260727T070227Z_visit_nursing_institution_demand_proportional,43760,충청북도,괴산군,visit_nursing,institution,demand_proportional,1594.0,0.0,0,0.0,0.0,0.0,0.6589803887081547,0.6589803887081547,1,1,True,True,,
20260727T070227Z_visit_nursing_institution_demand_proportional,43770,충청북도,음성군,visit_nursing,institution,demand_proportional,2769.5,1.0,0,1.0,0.3610760064993681,0.3610760064993681,0.14494741940227995,0.14494741940227995,1,1,False,False,,
20260727T070227Z_visit_nursing_institution_demand_proportional,43800,충청북도,단양군,visit_nursing,institution,demand_proportional,1098.5,0.0,0,0.0,0.0,0.0,0.45413422647171137,0.45413422647171137,1,1,True,True,,
20260727T070227Z_visit_nursing_institution_demand_proportional,44710,충청남도,금산군,visit_nursing,institution,demand_proportional,2943.0,2.0,0,2.0,0.6795786612300374,0.6795786612300374,0.0,0.0,0,0,False,False,,
20260727T070227Z_visit_nursing_institution_demand_proportional,44760,충청남도,부여군,visit_nursing,institution,demand_proportional,3443.0,2.0,0,2.0,0.5808887598024979,0.5808887598024979,0.0,0.0,0,0,False,False,,
20260727T070227Z_visit_nursing_institution_demand_proportional,44770,충청남도,서천군,visit_nursing,institution,demand_proportional,3164.5,1.0,1,2.0,0.31600568810238583,0.6320113762047717,0.3082455709328453,0.0,1,0,False,False,2,수요비례 최대잔여·재배분
20260727T070227Z_visit_nursing_institution_demand_proportional,44790,충청남도,청양군,visit_nursing,institution,demand_proportional,1595.0,0.0,0,0.0,0.0,0.0,0.6593938017500042,0.6593938017500042,1,1,True,True,,
20260727T070227Z_visit_nursing_institution_demand_proportional,44800,충청남도,홍성군,visit_nursing,institution,demand_proportional,4122.0,3.0,0,3.0,0.727802037845706,0.727802037845706,0.0,0.0,0,0,False,False,,
20260727T070227Z_visit_nursing_institution_demand_proportional,44810,충청남도,예산군,visit_nursing,institution,demand_proportional,3516.0,8.0,0,8.0,2.2753128555176336,2.2753128555176336,0.0,0.0,0,0,False,False,,
20260727T070227Z_visit_nursing_institution_demand_proportional,44825,충청남도,태안군,visit_nursing,institution,demand_proportional,2568.0,3.0,0,3.0,1.1682242990654206,1.1682242990654206,0.0,0.0,0,0,False,False,,
20260727T070227Z_visit_nursing_institution_demand_proportional,46710,전라남도,담양군,visit_nursing,institution,demand_proportional,2475.5,2.0,0,2.0,0.8079175924055746,0.8079175924055746,0.0,0.0,0,0,False,False,,
