run_id,strategy,resource_budget,allocated_resource,unallocated_resource,continuous_gap_before,continuous_gap_after,continuous_gap_reduction,integer_need_reduction,target_deficit_regions_reduced,zero_provider_regions_reduced,lower_10pct_mean_before,lower_10pct_mean_after,lower_10pct_mean_increase,benefited_demand,minimum_supply_after,q1_supply_after,iqr_supply_after,gini_after,continuous_gap_reduction_per_unit
20260727T070227Z_visit_nursing_institution_demand_proportional,demand_proportional,5,5,0,20.9222619977404,18.401038527371853,2.5212234703685468,5,5,0,0.0,0.0,0.0,18193,0.0,0.0,0.8690191404626786,0.5442115424329677,0.5042446940737093
20260727T070227Z_visit_nursing_institution_shortage_priority,shortage_priority,5,5,0,20.9222619977404,16.446698554911382,4.475563442829017,5,2,3,0.0,0.0,0.0,16970,0.0,0.0,0.8690191404626786,0.537004628714378,0.8951126885658034
20260727T070227Z_visit_nursing_institution_zero_provider_priority,zero_provider_priority,5,5,0,20.9222619977404,15.990796266219387,4.931465731521012,5,2,5,0.0,0.0,0.0,13235,0.0,0.0,0.8690191404626786,0.5285893463461038,0.9862931463042024
20260727T070227Z_visit_nursing_institution_vulnerability_priority,vulnerability_priority,5,5,0,20.9222619977404,16.967920104215604,3.954341893524795,5,5,4,0.0,0.0,0.0,11984,0.0,0.0,0.8690191404626786,0.5266467243154002,0.790868378704959
